CityName,CityID
לא רשום ,1
חברון ,2
קצר א-סר ,3
כמאנה ,4
סנסנה ,5
אעצם (שבט) ,6
אבירים ,7
אבו עבדון (שבט) ,8
אבו עמאר (שבט) ,9
אבו עמרה (שבט) ,10
אבו גוש ,11
אבו ג'ווייעד (שבט) ,12
אבו קורינאת (שבט) ,13
אבו קרינאת (יישוב) ,14
אבו רובייעה (שבט) ,15
אבו רוקייק (שבט) ,16
אבו סנאן ,17
אבו סריחאן (שבט) ,18
אבו תלול ,19
אדמית ,20
עדנים ,21
אדרת ,22
אדירים ,23
עדי ,24
אדורה ,25
אפיניש (שבט) ,26
אפק ,27
אפיק ,28
אפיקים ,29
עפולה ,30
עגור ,31
אחווה ,32
אחיעזר ,33
אחיהוד ,34
אחיסמך ,35
אחיטוב ,36
אחוזם ,37
אחוזת ברק ,38
עכו ,39
אל סייד ,40
אל-עריאן ,41
אל-עזי ,42
עלי זהב ,43
אלפי מנשה ,44
אלון הגליל ,45
אלון שבות ,46
אלוני אבא ,47
אלוני הבשן ,48
אלוני יצחק ,49
אלונים ,50
עלמה ,51
אלמגור ,52
אלמוג ,53
עלמון ,54
עלומים ,55
אלומה ,56
אלומות ,57
אמציה ,58
עמיר ,59
אמירים ,60
עמיעד ,61
עמיעוז ,62
עמיחי ,63
עמינדב ,64
עמיקם ,65
אמנון ,66
עמקה ,67
עמוקה ,68
אניעם ,69
ערערה ,70
ערערה-בנגב ,71
ערד ,72
עראמשה ,73
ארבל ,74
ארגמן ,75
אריאל ,76
ערב אל נעים ,77
עראבה ,78
ארסוף ,79
ערוגות ,80
עשהאל ,81
אסד (שבט) ,82
אספר ,83
עשרת ,84
אשלים ,85
אשדוד ,86
אשדות יעקב (איחוד) ,87
אשדות יעקב (מאוחד) ,88
אשרת ,89
אשקלון ,90
עטאוונה (שבט) ,91
עטרת ,92
עתלית ,93
אטרש (שבט) ,94
עצמון שגב ,95
עבדון ,96
אבנת ,97
אביאל ,98
אביעזר ,99
אביגיל ,100
אביגדור ,101
אביחיל ,102
אביטל ,103
אביבים ,104
אבני איתן ,105
אבני חפץ ,106
אבשלום ,107
אבטליון ,108
עיינות ,109
איילת השחר ,110
עזריה ,111
אזור ,112
עזריאל ,113
עזריקם ,114
בחן ,115
בלפוריה ,116
באקה אל-גרביה ,117
בר גיורא ,118
בר יוחאי ,119
ברעם ,120
ברק ,121
ברקת ,122
ברקן ,123
ברקאי ,124
"בסמ""ה ",125
בסמת טבעון ,126
בת עין ,127
בת הדר ,128
בת חפר ,129
בת חן ,130
בת שלמה ,131
בת ים ,132
בצרה ,133
באר מילכה ,134
באר אורה ,135
באר שבע ,136
באר טוביה ,137
באר יעקב ,138
בארי ,139
בארות יצחק ,140
בארותיים ,141
באר גנים ,142
בית ג'ן ,143
בן עמי ,144
בן שמן (מושב) ,145
בן שמן (כפר נוער) ,146
בן זכאי ,147
בניה ,148
בני עטרות ,149
"בני עי""ש ",150
בני ברק ,151
בני דרום ,152
בני דרור ,153
בני נצרים ,154
בני ראם ,155
בני יהודה ,156
בני ציון ,157
בקעות ,158
בקוע ,159
ברכה ,160
ברכיה ,161
ברור חיל ,162
ברוש ,163
בית אלפא ,164
בית עריף ,165
בית אריה ,166
בית ברל ,167
בית דגן ,168
בית אל ,169
בית אלעזרי ,170
בית עזרא ,171
בית גמליאל ,172
בית גוברין ,173
בית הערבה ,174
בית העמק ,175
בית הגדי ,176
בית הלוי ,177
בית חנן ,178
בית חנניה ,179
בית השיטה ,180
בית חשמונאי ,181
בית חירות ,182
בית הלל ,183
בית חלקיה ,184
בית חגלה ,185
בית חורון ,186
בית לחם הגלילית ,187
בית מאיר ,188
בית נחמיה ,189
בית נקופה ,190
בית ניר ,191
בית אורן ,192
בית עובד ,193
בית קמה ,194
בית קשת ,195
בית רבן ,196
בית רימון ,197
בית שאן ,198
בית שערים ,199
בית שמש ,200
בית שקמה ,201
בית עוזיאל ,202
בית ינאי ,203
בית יהושע ,204
בית יצחק-שער חפר ,205
בית יוסף ,206
בית זית ,207
בית זיד ,208
בית זרע ,209
בית צבי ,210
ביתר עילית ,211
בצת ,212
בענה ,213
בנימינה-גבעת עדה ,214
ביר אל-מכסור ,215
ביר הדאג' ,216
ביריה ,217
ביתן אהרן ,218
בטחה ,219
ביצרון ,220
בני דקלים ,221
ברוכין ,222
בועיינה-נוג'ידאת ,223
בוקעאתא ,224
בורגתה ,225
בוסתן הגליל ,226
דבוריה ,227
דפנה ,228
דחי ,229
דאלית אל-כרמל ,230
דליה ,231
דלתון ,232
דן ,233
דברת ,234
דגניה א' ,235
דגניה ב' ,236
דייר אל-אסד ,237
דייר חנא ,238
דייר ראפאת ,239
דמיידה ,240
דקל ,241
דריג'את ,242
דבורה ,243
דימונה ,244
דישון ,245
דולב ,246
דור ,247
דורות ,248
"דוב""ב ",249
דביר ,250
אפרת ,251
עיילבון ,252
עין אל-אסד ,253
עין חוד ,254
עין מאהל ,255
עין נקובא ,256
עין קנייא ,257
עין ראפה ,258
אלעד ,259
אלעזר ,260
אל-רום ,261
אילת ,262
עלי ,263
אלי-עד ,264
אליאב ,265
אליפז ,266
אליפלט ,267
אלישמע ,268
אילון ,269
אלון מורה ,270
אילות ,271
אלקנה ,272
אלקוש ,273
אליכין ,274
אליקים ,275
אלישיב ,276
אמונים ,277
עין איילה ,278
עין דור ,279
עין גדי ,280
עין גב ,281
עין הבשור ,282
עין העמק ,283
עין החורש ,284
עין המפרץ ,285
"עין הנצי""ב ",286
עין חרוד (איחוד) ,287
עין חרוד (מאוחד) ,288
עין השלושה ,289
עין השופט ,290
עין חצבה ,291
עין הוד ,292
עין עירון ,293
"עין כרם-בי""ס חקלאי ",294
עין כרמל ,295
עין שריד ,296
עין שמר ,297
עין תמר ,298
עין ורד ,299
עין יעקב ,300
עין יהב ,301
עין זיוון ,302
עין צורים ,303
עינת ,304
ענב ,305
ארז ,306
אשבול ,307
אשל הנשיא ,308
אשחר ,309
אשכולות ,310
אשתאול ,311
איתן ,312
איתנים ,313
אתגר ,314
אבן מנחם ,315
אבן ספיר ,316
אבן שמואל ,317
אבן יהודה ,318
גלעד (אבן יצחק) ,319
עברון ,320
אייל ,321
עזר ,322
עזוז ,323
פסוטה ,324
פוריידיס ,325
געש ,326
געתון ,327
גדיש ,328
גדות ,329
גלאון ,330
גן הדרום ,331
גן השומרון ,332
גן חיים ,333
גן נר ,334
גן שלמה ,335
גן שמואל ,336
גן שורק ,337
גן יבנה ,338
גן יאשיה ,339
גני עם ,340
גני הדר ,341
גני מודיעין ,342
גני טל ,343
גני תקווה ,344
גני יוחנן ,345
גנות ,346
גנות הדר ,347
גת רימון ,348
גת (קיבוץ) ,349
גזית ,350
גיאה ,351
גאליה ,352
גאולי תימן ,353
גאולים ,354
גדרה ,355
גפן ,356
גליל ים ,357
גרופית ,358
גשר ,359
גשר הזיו ,360
גשור ,361
גבע ,362
גבע כרמל ,363
גבע בנימין ,364
גבעות בר ,365
גברעם ,366
גבת ,367
גבים ,368
גבולות ,369
גזר ,370
ע'ג'ר ,371
גיבתון ,372
גדעונה ,373
גילת ,374
גלגל ,375
גילון ,376
גמזו ,377
גינתון ,378
גיניגר ,379
גינוסר ,380
גיתה ,381
גיתית ,382
גבעת אבני ,383
גבעת ברנר ,384
גבעת אלה ,385
גבעת השלושה ,386
גבעת חיים (איחוד) ,387
גבעת חיים (מאוחד) ,388
"גבעת ח""ן ",389
"גבעת כ""ח ",390
"גבעת ניל""י ",391
גבעת עוז ,392
גבעת שפירא ,393
גבעת שמש ,394
גבעת שמואל ,395
גבעת יערים ,396
גבעת ישעיהו ,397
גבעת יואב ,398
גבעת זאב ,399
גבעתיים ,400
גבעתי ,401
גבעולים ,402
גבעון החדשה ,403
גבעות עדן ,404
גבעות הרואה ,405
גיזו ,406
גונן ,407
גורן ,408
גורנות הגליל ,409
הבונים ,410
חד-נס ,411
הדר עם ,412
חדרה ,413
חדיד ,414
חפץ חיים ,415
חגי ,416
חגור ,417
הגושרים ,418
החותרים ,419
חיפה ,420
חלוץ ,421
המעפיל ,422
חמדיה ,423
חמאם ,424
חמרה ,425
חניתה ,426
חנתון ,427
חניאל ,428
העוגן ,429
האון ,430
הר אדר ,431
הר עמשא ,432
הר גילה ,433
הראל ,434
הררית ,435
חרשים ,436
הרדוף ,437
חריש ,438
חרוצים ,439
חשמונאים ,440
הסוללים ,441
חספין ,442
חבצלת השרון ,443
הוואשלה (שבט) ,444
היוגב ,445
חצב ,446
חצרים ,447
חצבה ,448
חזון ,449
חצור הגלילית ,450
חצור-אשדוד ,451
הזורעים ,452
הזורע ,453
חפצי-בה ,454
חלץ ,455
חמד ,456
חרב לאת ,457
חרמש ,458
חירות ,459
הרצליה ,460
חבר ,461
חיבת ציון ,462
הילה ,463
חיננית ,464
הוד השרון ,465
הודיות ,466
הודיה ,467
חופית ,468
חגלה ,469
חולית ,470
חולון ,471
חורשים ,472
חוסן ,473
הושעיה ,474
חוג'ייראת (ד'הרה) ,475
חולתה ,476
חולדה ,477
חוקוק ,478
חורה ,479
חורפיש ,480
חוסנייה ,481
הוזייל (שבט) ,482
אעבלין ,483
איבים ,484
אבטין ,485
עידן ,486
אכסאל ,487
אילניה ,488
עילוט ,489
עמנואל ,490
עיר אובות ,491
אירוס ,492
עספיא ,493
איתמר ,494
ג'ת ,495
ג'לג'וליה ,496
ירושלים ,497
ג'ש (גוש חלב) ,498
ג'סר א-זרקא ,499
ג'דיידה-מכר ,500
ג'ולס ,501
ג'נאביב (שבט) ,502
כעביה-טבאש-חג'אג'רה ,503
כברי ,504
כאבול ,505
כדיתה ,506
כדורי ,507
כפר ברא ,508
כפר כמא ,509
כפר כנא ,510
כפר מנדא ,511
כפר מצר ,512
כפר קרע ,513
כפר קאסם ,514
כפר יאסיף ,515
כחל ,516
כלנית ,517
כמון ,518
כנף ,519
כנות ,520
כאוכב אבו אל-היג'א ,521
כרי דשא ,522
כרכום ,523
כרמי קטיף ,524
כרמי יוסף ,525
כרמי צור ,526
כרמל ,527
כרמיאל ,528
כרמיה ,529
כפר אדומים ,530
כפר אחים ,531
כפר אביב ,532
כפר עבודה ,533
כפר עזה ,534
כפר ברוך ,535
כפר ביאליק ,536
"כפר ביל""ו ",537
כפר בן נון ,538
כפר בלום ,539
כפר דניאל ,540
כפר עציון ,541
כפר גלים ,542
כפר גדעון ,543
כפר גלעדי ,544
כפר גליקסון ,545
"כפר חב""ד ",546
כפר החורש ,547
כפר המכבי ,548
כפר הנגיד ,549
כפר חנניה ,550
כפר הנשיא ,551
כפר הנוער הדתי ,552
כפר האורנים ,553
"כפר הרי""ף ",554
"כפר הרא""ה ",555
כפר חרוב ,556
כפר חסידים א' ,557
כפר חסידים ב' ,558
כפר חיים ,559
כפר הס ,560
כפר חיטים ,561
כפר חושן ,562
כפר קיש ,563
"כפר מל""ל ",564
כפר מסריק ,565
כפר מימון ,566
כפר מנחם ,567
כפר מונש ,568
כפר מרדכי ,569
כפר נטר ,570
כפר פינס ,571
כפר ראש הנקרה ,572
כפר רוזנואלד (זרעית) ,573
כפר רופין ,574
כפר רות ,575
כפר סבא ,576
כפר שמאי ,577
כפר שמריהו ,578
כפר שמואל ,579
כפר סילבר ,580
כפר סירקין ,581
כפר סאלד ,582
כפר תפוח ,583
כפר תבור ,584
כפר טרומן ,585
כפר אוריה ,586
כפר ויתקין ,587
כפר ורבורג ,588
כפר ורדים ,589
כפר יעבץ ,590
כפר יחזקאל ,591
כפר יהושע ,592
כפר יונה ,593
כפר זיתים ,594
כפר זוהרים ,595
כליל ,596
כמהין ,597
כרמים ,598
כרם בן שמן ,599
כרם בן זמרה ,600
כרם ביבנה (ישיבה) ,601
"כרם מהר""ל ",602
כרם שלום ,603
כסלון ,604
ח'ואלד ,605
ח'ואלד (שבט) ,606
כנרת (מושבה) ,607
כנרת (קבוצה) ,608
כישור ,609
כסרא-סמיע ,610
כיסופים ,611
כחלה ,612
כוכב השחר ,613
כוכב מיכאל ,614
כוכב יעקב ,615
כוכב יאיר ,616
כורזים ,617
כסיפה ,618
להב ,619
להבות הבשן ,620
להבות חביבה ,621
לכיש ,622
לפיד ,623
לפידות ,624
לקיה ,625
לביא ,626
לבון ,627
להבים ,628
שריגים (לי-און) ,629
לימן ,630
לבנים ,631
לוד ,632
לוחמי הגיטאות ,633
לוטן ,634
לוטם ,635
לוזית ,636
מעגן ,637
מעגן מיכאל ,638
מעלה אדומים ,639
מעלה עמוס ,640
מעלה אפרים ,641
מעלה גמלא ,642
מעלה גלבוע ,643
מעלה החמישה ,644
מעלה עירון ,645
מעלה לבונה ,646
מעלה מכמש ,647
מעלות-תרשיחא ,648
מענית ,649
מעש ,650
מעברות ,651
מעגלים ,652
מעון ,653
מאור ,654
מעוז חיים ,655
מעין ברוך ,656
מעין צבי ,657
מבועים ,658
מגן ,659
מגן שאול ,660
מגל ,661
מגשימים ,662
מחניים ,663
צוקים ,664
מחנה הילה ,665
מחנה מרים ,666
מחנה טלי ,667
מחנה תל נוף ,668
מחנה יפה ,669
מחנה יתיר ,670
מחנה יהודית ,671
מחנה יוכבד ,672
מחסיה ,673
מג'ד אל-כרום ,674
מג'דל שמס ,675
מכחול ,676
מלכיה ,677
מנוף ,678
מנות ,679
מנשית זבדה ,680
מרגליות ,681
מסעדה ,682
מסעודין אל-עזאזמה ,683
משאבי שדה ,684
משען ,685
משכיות ,686
מסלול ,687
מסד ,688
מסדה ,689
משואה ,690
משואות יצחק ,691
מטע ,692
מתן ,693
מתת ,694
מתתיהו ,695
מבקיעים ,696
מזכרת בתיה ,697
מצליח ,698
מזור ,699
מזרעה ,700
מצובה ,701
מי עמי ,702
מאיר שפיה ,703
מעונה ,704
מפלסים ,705
מגדים ,706
מגידו ,707
מחולה ,708
מייסר ,709
מכורה ,710
מלאה ,711
מלילות ,712
מנחמיה ,713
מנרה ,714
מנוחה ,715
מירב ,716
מרחב עם ,717
מרחביה (מושב) ,718
מרחביה (קיבוץ) ,719
מרכז שפירא ,720
מרום גולן ,721
מירון ,722
מישר ,723
משהד ,724
מסילת ציון ,725
מסילות ,726
מיטל ,727
מיתר ,728
מיטב ,729
מטולה ,730
מבשרת ציון ,731
מבוא ביתר ,732
מבוא דותן ,733
מבוא חמה ,734
מבוא חורון ,735
מבוא מודיעים ,736
מבואות ים ,737
מבואות יריחו ,738
מצדות יהודה ,739
מיצר ,740
מצר ,741
מעיליא ,742
מדרך עוז ,743
מדרשת בן גוריון ,744
מדרשת רופין ,745
מגדל ,746
מגדל העמק ,747
מגדל עוז ,748
מגדלים ,749
מכמנים ,750
מכמורת ,751
מקווה ישראל ,752
משגב עם ,753
משגב דב ,754
משמר איילון ,755
משמר דוד ,756
משמר העמק ,757
משמר הנגב ,758
משמר השרון ,759
משמר השבעה ,760
משמר הירדן ,761
משמר יהודה ,762
משמרות ,763
משמרת ,764
מצפה אילן ,765
מבטחים ,766
מצפה ,767
"מצפה אבי""ב ",768
מצפה נטופה ,769
מצפה רמון ,770
מצפה שלם ,771
מצפה יריחו ,772
מזרע ,773
מודיעין עילית ,774
מודיעין-מכבים-רעות ,775
מולדת ,776
מורן ,777
מורשת ,778
מוצא עילית ,779
מגאר ,780
